alpha,lambda,eta,threshold,absmean
1e-07,1.6,0.2,0.0,0.07618964655130082
1e-06,1.6,0.2,0.0,0.07989219932684488
1e-05,1.6,0.2,0.0,0.1167666686494376
0.0001,1.6,0.2,0.0,0.4713951736483173
0.001,1.6,0.2,0.0,3.190507434688236
0.01,1.6,0.2,0.0,20.28144971630599
