sigma,threshold,FA,DD,ND
0.1,45.267085750937994,0,15.8$\pm$2.9,5
0.2,44.07477040865093,0,26.0$\pm$15.1,4
0.3,36.25217180222698,0,13.1$\pm$5.9,0
0.4,35.94766157985333,0,14.1$\pm$5.5,0
0.5,29.045592741680174,0,11.5$\pm$3.8,0
0.6,23.09017175275322,0,9.9$\pm$3.2,0
0.7,18.382822200507892,0,8.4$\pm$2.0,0
0.8,15.018969101004958,0,7.8$\pm$1.8,0
0.9,14.941382655868374,0,7.6$\pm$1.8,0
1.0,14.307726546509835,0,7.3$\pm$1.8,0
1.5,8.603042836792923,0,5.9$\pm$0.9,0
2.0,5.228984269459783,0,5.5$\pm$0.9,0
