sigma,threshold,FA,DD,ND
0.1,,10,nan$\pm$nan,0
0.2,28.233670550180637,0,5.0$\pm$1.5,0
0.3,20.192397121723737,0,4.6$\pm$1.6,0
0.4,13.45090886852902,0,4.5$\pm$1.7,0
0.5,10.34784422461972,0,4.9$\pm$1.4,0
0.6,8.425426350124692,0,5.5$\pm$1.4,0
0.7,6.540220116482723,0,5.6$\pm$1.3,0
0.8,5.1605235527462145,0,5.5$\pm$1.1,0
0.9,4.272817540747122,0,5.6$\pm$1.0,0
1.0,3.5575831798711395,0,5.5$\pm$1.0,0
1.5,1.7445012435334832,0,5.5$\pm$1.1,0
2.0,0.9863627309905454,0,5.3$\pm$1.4,0
