sigma,threshold,FA,DD,ND
0.1,68.32358171757124,0,18.2$\pm$6.1,5
0.2,15.570777293908915,0,14.0$\pm$10.6,0
0.3,13.13521342888646,0,14.3$\pm$8.8,0
0.4,11.267231812109538,0,12.9$\pm$6.6,0
0.5,7.597134396081414,0,13.1$\pm$6.8,0
0.6,5.430251217350121,0,12.9$\pm$6.7,0
0.7,4.060333568306985,0,17.5$\pm$14.9,0
0.8,3.1445998984841945,0,17.4$\pm$14.9,0
0.9,2.504346509852547,0,26.2$\pm$30.5,0
1.0,2.0400608456256006,0,26.5$\pm$30.5,0
1.5,0.9190096434152973,0,25.9$\pm$19.4,0
2.0,0.5193995299002756,0,25.6$\pm$19.0,0
