alpha,lambda,eta,threshold,absmean
1e-07,1.5,0.2,0.0013188060333959584,0.087665463957984
1e-06,1.5,0.2,0.0597584359134089,0.4751955274370361
1e-05,1.5,0.2,0.6333700549603236,1.130695228955952
0.0001,1.5,0.2,5.429616528623228,1.5913599898631872
0.001,1.5,0.2,27.63323102933191,2.4626627605904243
0.01,1.5,0.2,23.78795978322205,13.835462298433026
