sigma,threshold,FA,DD,ND
0.1,,10,nan$\pm$nan,0
0.2,28.233670550180637,0,6.0$\pm$2.0,0
0.3,20.192397121723737,0,7.2$\pm$2.2,0
0.4,13.45090886852902,0,8.2$\pm$4.4,0
0.5,10.34784422461972,0,8.8$\pm$5.4,0
0.6,8.425426350124692,0,10.0$\pm$4.8,0
0.7,6.540220116482723,0,10.6$\pm$5.2,0
0.8,5.1605235527462145,0,11.5$\pm$5.6,0
0.9,4.272817540747122,0,16.0$\pm$7.3,0
1.0,3.5575831798711395,0,17.9$\pm$8.9,0
1.5,1.7445012435334832,0,25.0$\pm$6.6,0
2.0,0.9863627309905454,0,25.1$\pm$9.8,0
