p,beta,threshold,FA,DD,ND
1,0.01,3.0340792548030615,0,48.5$\pm$51.3,6
1,0.05,5.567258973304127,0,21.4$\pm$10.1,0
1,0.1,6.466393467955551,0,10.5$\pm$9.8,0
1,0.15,7.267212887952523,0,14.9$\pm$7.5,0
1,0.2,6.847190690571199,0,15.9$\pm$9.6,0
1,0.3,6.874025208404867,0,36.9$\pm$33.1,0
1,0.5,6.2833778519708305,0,52.6$\pm$42.4,3
