alpha,lambda,eta,threshold,FA,DD,ND
0.05,1.5,0.2,0.0,0,3.0$\pm$1.6,0
0.2,1.5,0.2,0.0,0,2.0$\pm$0.9,0
0.5,1.5,0.2,0.0,0,2.0$\pm$0.9,0
0.8,1.5,0.2,0.0,0,2.2$\pm$1.1,0
1.0,1.5,0.2,0.0,0,2.3$\pm$1.3,0
5.0,1.5,0.2,0.0,0,2.3$\pm$1.3,0
