alpha,lambda,eta,threshold,FA,DD,ND
1e-07,1.5,0.2,0.0,0,2.2$\pm$1.7,0
1e-06,1.5,0.2,0.0,0,2.2$\pm$1.7,0
1e-05,1.5,0.2,0.0,0,2.0$\pm$1.7,0
0.0001,1.5,0.2,0.0,0,1.4$\pm$0.5,0
0.001,1.5,0.2,0.0,0,1.4$\pm$0.5,0
0.01,1.5,0.2,0.0,0,1.9$\pm$1.2,0
