sigma,window_size,threshold,absmean
0.01,50,10.128019930283214,2.02988476579888
0.02,50,5.745737122699555,1.2484520229241018
0.025,50,5.64257492359787,1.0670132151032512
0.05,50,10.098115981778012,0.6880926171715583
0.075,50,7.397846692486147,0.4812474021937629
0.1,50,5.790907971388345,0.3413650994114576
0.2,50,1.2080361850450045,0.10690627438505043
0.25,50,0.6226321927325629,0.06676194686517918
0.5,50,0.08741284358379077,0.012423740347832371
0.75,50,0.03198940963149679,0.00455481252096605
0.9,50,0.02100328718265441,0.002992911588879568
1.0,50,0.016825178251828898,0.0023641353605196595
1.2,50,0.011686909743051118,0.0015869873820192047
1.5,50,0.007481097801406699,0.0009867815009568547
2.0,50,0.00420877414593976,0.0005423513620856722
2.5,50,0.002693812082902622,0.00034332481767468094
5.0,50,0.0006735190877290394,8.456772132143604e-05
6.0,50,0.00046772628517757325,5.86380629187226e-05
7.0,50,0.0003436377199533231,4.304135794640481e-05
10.0,50,0.0001683839246027184,2.1062807626324422e-05
