sigma,window_size,threshold,absmean
0.1,30,0.0,0.0
0.1,40,0.0,0.0
0.1,50,0.0,0.0
0.9,30,0.0,0.0
0.9,40,0.0,0.0
0.9,50,0.0,0.0
1.0,30,0.0,0.0
1.0,40,0.0,0.0
1.0,50,0.0,0.0
1.5,30,0.0,0.0
1.5,40,0.0,0.0
1.5,50,0.0,0.0
2.0,30,0.0,0.0
2.0,40,0.0,0.0
2.0,50,0.0,0.0
2.5,30,0.0,0.0
2.5,40,0.0,0.0
2.5,50,0.0,0.0
3.0,30,0.0,0.0
3.0,40,0.0,0.0
3.0,50,0.0,0.0
