alpha,lambda,eta,threshold,FA,DD,ND
0.01,0.5,0.2,0.0,0,9.8$\pm$3.5,0
0.01,0.8,0.2,0.0,0,14.1$\pm$4.3,0
0.01,1.0,0.2,0.0,0,16.6$\pm$3.4,0
0.01,1.5,0.2,0.0,0,24.2$\pm$5.0,0
0.05,0.5,0.2,0.0,0,4.7$\pm$2.1,0
0.05,0.8,0.2,0.0,0,5.5$\pm$2.5,0
0.05,1.0,0.2,0.0,0,6.0$\pm$3.1,0
0.05,1.5,0.2,0.0,0,9.0$\pm$6.2,0
0.1,0.5,0.2,31.28334874778443,0,6.1$\pm$2.7,0
0.1,0.8,0.2,28.17748766570162,0,6.4$\pm$2.9,0
0.1,1.0,0.2,22.86053719887218,0,6.2$\pm$3.1,0
0.1,1.5,0.2,3.866202904079728,0,5.5$\pm$2.9,0
0.5,0.5,0.2,17.76913276324825,0,12.6$\pm$7.1,0
0.5,0.8,0.2,14.857756256260814,0,11.9$\pm$7.0,0
0.5,1.0,0.2,8.087971341432308,0,11.2$\pm$6.3,0
0.5,1.5,0.2,14.771903091123704,0,11.7$\pm$7.6,0
