sigma,threshold,FA,DD,ND
0.1,28.840928288615476,0,14.2$\pm$4.3,1
0.2,11.304906855338302,0,8.6$\pm$4.2,0
0.3,6.391589133075928,0,8.0$\pm$3.2,0
0.4,5.490864860846213,0,8.8$\pm$3.5,0
0.5,4.9211829508834,0,9.5$\pm$3.7,0
0.6,4.060212366678781,0,9.8$\pm$4.0,0
0.7,3.315084576357,0,10.1$\pm$4.1,0
0.8,2.8389834865779586,0,10.3$\pm$4.3,0
0.9,2.136599464464774,0,9.9$\pm$4.3,0
1.0,1.838632028876285,0,10.1$\pm$4.1,0
