alpha,lambda,eta,threshold,absmean
0.05,0.5,0.2,0.0,48.43561393752515
0.2,0.5,0.2,24.49306349474648,57.19058259983294
0.5,0.5,0.2,17.76913276324825,87.29894175570942
0.8,0.5,0.2,15.696507614724283,99.10833124991592
1.0,0.5,0.2,15.005958859987743,103.50123403404527
5.0,0.5,0.2,15.073846349545704,121.96684326749366
