alpha,lambda,eta,threshold,FA,DD,ND
1e-08,0.5,0.2,8.375036476768173,0,3.8$\pm$2.5,0
1e-08,0.8,0.2,0.710772863307966,0,3.6$\pm$2.7,0
1e-08,1.0,0.2,0.1669420389798688,0,4.1$\pm$3.6,0
1e-08,1.5,0.2,0.0046744355977352825,0,4.1$\pm$3.6,0
5e-07,0.5,0.2,84.15534779661766,0,6.1$\pm$3.2,0
5e-07,0.8,0.2,27.0222410527615,0,4.7$\pm$3.3,0
5e-07,1.0,0.2,8.15802177991145,0,3.8$\pm$2.3,0
5e-07,1.5,0.2,0.5212750661416976,0,3.3$\pm$2.4,0
1e-07,0.5,0.2,50.86184093206725,0,5.4$\pm$3.2,0
1e-07,0.8,0.2,6.8250769229675825,0,3.9$\pm$2.4,0
1e-07,1.0,0.2,1.7408651929385996,0,3.6$\pm$2.7,0
1e-07,1.5,0.2,0.10007434872045451,0,3.3$\pm$2.4,0
1e-06,0.5,0.2,88.43490623511707,0,6.4$\pm$3.6,0
1e-06,0.8,0.2,42.362659954995706,0,5.6$\pm$3.4,0
1e-06,1.0,0.2,15.034849103077931,0,3.9$\pm$2.5,0
1e-06,1.5,0.2,1.0414240615746166,0,3.2$\pm$2.3,0
1e-05,0.5,0.2,89.2036214077807,0,6.7$\pm$3.3,0
1e-05,0.8,0.2,75.39682968768557,0,6.4$\pm$3.4,0
1e-05,1.0,0.2,57.69819517631663,0,5.9$\pm$3.1,0
1e-05,1.5,0.2,9.324150982669607,0,3.8$\pm$2.3,0
0.0001,0.5,0.2,87.84814772112736,0,6.5$\pm$3.0,0
0.0001,0.8,0.2,75.60240919063563,0,7.0$\pm$3.4,0
0.0001,1.0,0.2,68.76641367601997,0,8.2$\pm$5.7,0
0.0001,1.5,0.2,41.9474292873515,0,7.7$\pm$6.4,0
