p,beta,threshold,FA,DD,ND
2,0.3,2.2689474709920825,0,5.5$\pm$1.6,0
2,0.5,3.3054093347968467,0,5.8$\pm$1.4,0
2,0.7,3.782905065053166,0,6.4$\pm$1.6,0
2,0.9,3.905036631864781,0,6.4$\pm$1.7,0
2,1.1,3.920727894940252,0,6.6$\pm$1.7,0
2,1.5,3.833647849002402,0,6.7$\pm$1.6,0
