p,beta,threshold,absmean
2,0.2,0.05609662165462907,0.0035033305962987008
2,0.5,0.027100470917296362,0.003603427440454591
2,0.8,0.017713463021859426,0.0037050101995198077
3,0.2,0.053062027344616895,0.0007038864468030695
3,0.5,0.026542858050617842,0.00033899759041727947
3,0.8,0.017491823025254892,0.00022142196532671098
