alpha,lambda,eta,threshold,absmean
0.01,1,0.1,0.0,405.4250769676576
0.05,1,0.1,0.0,131.91798887953917
0.1,1,0.1,0.0,98.21619208526116
0.15,1,0.1,0.0,88.13264488340936
0.3,1,0.1,0.0,79.3750547209259
0.6,1,0.1,0.0,75.94390941616378
0.9,1,0.1,0.0,75.06222296970681
1.0,1,0.1,0.0,74.90934910381881
