alpha,lambda,eta,threshold,absmean
1e-06,0.95,0.1,317.2322147576174,15.27005343005749
1e-06,1.0,0.1,285.6543701340536,13.483175255194169
1e-05,0.95,0.1,341.1671209912254,17.10826595287642
1e-05,1.0,0.1,310.05563471184473,15.342519499369484
0.0001,0.95,0.1,366.38819659473575,19.079553186507678
0.0001,1.0,0.1,334.58565860283716,17.250130718302405
