sigma,window_size,threshold,absmean
0.01,50,80.58796154479049,19.580954253079685
0.02,50,49.16939383453654,12.196372838424788
0.025,50,39.94535480189126,10.531492538415085
0.05,50,32.37391755924946,6.511600245929453
0.075,50,29.274129216851698,4.8732880063086705
0.1,50,27.572511497896212,3.832000365589283
0.2,50,13.106275654719688,1.5570927092699438
0.25,50,9.043299409231649,1.081623391485131
0.5,50,2.510746715908744,0.3079529306508175
0.75,50,1.1461107946878488,0.1417963607694836
1.0,50,0.671798002932285,0.0811834001926165
1.5,50,0.30755649776881383,0.03657199171711623
2.0,50,0.17291617172573825,0.020548072701553885
